antipsychotic,grp1,grp2,grp3,grp4,grp5,grp6,grp7
Amisulpride,0,1,0,0,0,0,0
Aripiprazole,1,0,0,0,0,0,0
Asenapine,0,0,0,0,1,0,0
Brexpiprazole,1,0,0,0,0,0,0
Cariprazine,1,0,0,0,0,0,0
Chlorpromazine,0,0,0,0,0,1,0
Clozapine,0,0,1,0,0,0,0
Flupentixol,0,0,0,0,0,1,0
Fluphenazine,0,1,0,0,0,0,0
Haloperidol,0,1,0,0,0,0,0
Iloperidone,0,0,0,0,0,0,1
Loxapine,0,0,0,0,0,1,0
Lurasidone,0,0,0,0,0,1,0
Olanzapine,0,0,0,0,0,1,0
Paliperidone,0,0,1,0,0,0,0
Perphenazine,0,1,0,0,0,0,0
Pimozide,0,1,0,0,0,0,0
Quetiapine,0,0,0,1,0,0,0
Risperidone,0,0,1,0,0,0,0
Sertindole,0,0,0,0,0,1,0
Sulpiride,0,1,0,0,0,0,0
Thioridazine,0,0,0,0,0,1,0
Trifluoperazine,0,0,0,0,0,1,0
Ziprasidone,0,0,0,0,0,1,0
Zotepine,0,0,0,0,0,1,0
Thiothixene,0,0,1,0,0,0,0
Molindone,0,1,0,0,0,0,0